iter	Passed	Remaining
0	37	3712
1	80	3950
2	94	3049
3	130	3121
4	161	3063
5	198	3116
6	231	3072
7	265	3058
8	297	3008
9	331	2982
10	360	2918
11	399	2926
12	448	3004
13	482	2964
14	512	2903
15	543	2852
16	579	2827
17	609	2775
18	644	2749
19	677	2709
20	710	2673
21	743	2637
22	778	2607
23	808	2559
24	843	2530
25	875	2491
26	908	2455
27	942	2423
28	976	2389
29	1005	2346
30	1041	2319
31	1072	2278
32	1107	2249
33	1142	2217
34	1179	2189
35	1207	2146
36	1242	2116
37	1271	2075
38	1303	2038
39	1331	1997
40	1367	1968
41	1394	1926
42	1427	1892
43	1463	1862
44	1495	1828
45	1526	1791
46	1560	1759
47	1598	1732
48	1637	1704
49	1667	1667
50	1702	1635
51	1742	1608
52	1779	1578
53	1820	1550
54	1855	1518
55	1887	1483
56	1914	1444
57	1946	1409
58	1980	1376
59	2013	1342
60	2047	1308
61	2085	1278
62	2119	1244
63	2157	1213
64	2191	1180
65	2227	1147
66	2258	1112
67	2295	1080
68	2333	1048
69	2371	1016
70	2414	986
71	2458	956
72	2500	924
73	2537	891
74	2578	859
75	2619	827
76	2661	794
77	2701	761
78	2732	726
79	2767	691
80	2800	656
81	2837	622
82	2866	587
83	2900	552
84	2938	518
85	2970	483
86	3004	449
87	3039	414
88	3068	379
89	3101	344
90	3131	309
91	3167	275
92	3206	241
93	3240	206
94	3276	172
95	3306	137
96	3338	103
97	3378	68
98	3415	34
99	3442	0
